title,author,isbn,price,quantity,shelf_location
The Last Harbor,Elena Marlowe,9781000000016,8.99,0,A-01
Winter on Cedar Street,Nathan Cole,9781000000023,9.99,1,A-02
A Map of Forgotten Places,Clara Bennett,9781000000030,10.99,2,A-03
The Glass Orchard,Samuel Reed,9781000000047,11.99,3,A-04
Before the Morning Train,Lydia Hart,9781000000054,12.99,5,A-05
Echoes from Blackwood,Marcus Vale,9781000000061,13.99,8,A-06
The Paper Kingdom,Isabel Monroe,9781000000078,14.99,10,A-07
Under a Copper Sky,Daniel Cross,9781000000085,15.99,12,A-08
The Lighthouse Letters,Amelia Grant,9781000000092,16.99,15,A-09
Where Rivers Divide,Jonah Pierce,9781000000108,17.99,20,A-10
The Clockmaker's Secret,Evelyn Shaw,9781000000115,18.99,0,B-01
North of Evergreen,Caleb Morgan,9781000000122,19.99,1,B-02
A Season of Small Fires,Rebecca Lane,9781000000139,21.99,2,B-03
The Silent Gallery,Adrian Wells,9781000000146,22.99,3,B-04
Letters from Bellweather,Maya Collins,9781000000153,24.99,5,B-05
The Mountain Between Roads,Thomas Avery,9781000000160,27.99,8,B-06
The Blue Door Café,Sophie Ellis,9781000000177,29.99,10,B-07
The Other Side of Summer,Graham Foster,9781000000184,32.99,12,B-08
A House Full of Stars,Nora Fields,9781000000191,34.99,15,B-09
The Long Way to Brighton,Peter Caldwell,9781000000207,39.99,20,B-10
Signal Lost,Ryan Mercer,9781000000214,8.99,0,C-01
Orbital Dawn,Kira Stanton,9781000000221,9.99,1,C-02
The Europa Protocol,Miles Keene,9781000000238,10.99,2,C-03
Redshift,Avery Quinn,9781000000245,11.99,3,C-04
Beyond the Helios Gate,Tessa Rowan,9781000000252,12.99,5,C-05
The Last Colony Ship,Derek Sloan,9781000000269,13.99,8,C-06
Artificial Horizon,Lena Park,9781000000276,14.99,10,C-07
The Mars Cartographer,Ian Beckett,9781000000283,15.99,12,C-08
Zero Point Station,Naomi Brooks,9781000000290,16.99,15,C-09
The Quiet Machine,Elias Ward,9781000000306,17.99,20,C-10
